expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments,source_file,ref,words,glosses,translation,comment,questionnaire
er,er,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,?,chinese-ev-74,neither,Conflicting evidence found.,Chinese,NA,NA,NA,NA,NA,NA
er,er,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,?,chinese-ev-16,neither,Conflicting evidence found.,Chinese,NA,NA,NA,NA,NA,NA
er,er,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-62,neither,,Chinese,NA,NA,NA,NA,NA,NA
er,er,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-67,neither,,Chinese,NA,NA,NA,NA,NA,NA
er,negation + er,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-21,above,,Chinese,NA,NA,NA,NA,NA,NA
erqie,erqie + (hai/ye),conj-contrast-sta,1,0,1,1,0,1,0,0,1,"chinese-ev-41,chinese-ev-42,chinese-ev-43",neither,,Chinese,NA,NA,NA,NA,NA,NA
erqie,erqie + (hai/ye),conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"chinese-ev-1,chinese-ev-2",neither,,Chinese,NA,NA,NA,NA,NA,NA
erqie,erqie + (hai/ye),disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,chinese-ev-54,neither,,Chinese,NA,NA,NA,NA,NA,NA
erqie,erqie + (hai/ye),disj-spk,0,0,0,1,0,1,0,0,0,"chinese-ev-48,chinese-ev-49,chinese-ev-50",neither,,Chinese,NA,NA,NA,NA,NA,NA
hai,juxtaposition + hai,conj-contrast-sta,1,0,1,1,0,1,0,0,1,chinese-ev-39,neither,,Chinese,NA,NA,NA,NA,NA,NA
hai,juxtaposition + hai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-3,neither,,Chinese,NA,NA,NA,NA,NA,NA
hai,juxtaposition + hai,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,chinese-ev-53,neither,,Chinese,NA,NA,NA,NA,NA,NA
hai,juxtaposition + hai,disj-nspk-sta-inc,-1,0,0,1,0,0,0,0,0,chinese-ev-55,neither,,Chinese,NA,NA,NA,NA,NA,NA
hai,juxtaposition + hai,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-46,neither,,Chinese,NA,NA,NA,NA,NA,NA
hai,juxtaposition + hai,neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-56,neither,,Chinese,NA,NA,NA,NA,NA,NA
haishi,haishi,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,chinese-ev-79,neither,,Chinese,NA,NA,NA,NA,NA,NA
haishi,haishi,disj-nspk-q,0,0,1,0,0,0,1,0,1,"chinese-ev-31,chinese-ev-33",neither,,Chinese,NA,NA,NA,NA,NA,NA
haishi,haishi,fc,0,0,0,0,0,0,0,1,0,chinese-ev-38,neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,chinese-ev-78,neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,disj-nspk-epi-exc,0,0,1,0,0,0,0,0,1,chinese-ev-26,neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,disj-nspk-q,0,0,1,0,0,0,1,0,0,"chinese-ev-32,chinese-ev-34",neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"chinese-ev-29,chinese-ev-81",neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,disj-nspk-sta-inc,-1,0,0,1,0,0,0,0,1,"chinese-ev-30,chinese-ev-83",neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,disj-spk,0,0,0,1,0,1,0,0,1,chinese-ev-24,neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,fc,0,0,0,0,0,0,0,1,1,chinese-ev-37,neither,,Chinese,NA,NA,NA,NA,NA,NA
huozhe,huozhe,neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-85,neither,,Chinese,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,1,chinese-ev-68,neither,,Chinese,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-69,neither,,Chinese,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,chinese-ev-40,neither,,Chinese,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"chinese-ev-8,chinese-ev-9,chinese-ev-10,chinese-ev-11",neither,,Chinese,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,disj-spk,0,0,0,1,0,1,0,0,0,"chinese-ev-47,chinese-ev-75,chinese-ev-76",neither,,Chinese,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-87,neither,,Chinese,NA,NA,NA,NA,NA,NA
keshi,keshi,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-73,neither,,Chinese,NA,NA,NA,NA,NA,NA
keshi,keshi,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-61,neither,,Chinese,NA,NA,NA,NA,NA,NA
keshi,keshi,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-66,neither,,Chinese,NA,NA,NA,NA,NA,NA
keshi,keshi + negation,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-20,above,,Chinese,NA,NA,NA,NA,NA,NA
ye,NEG ye NEG,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-36,below,,Chinese,NA,NA,NA,NA,NA,NA
ye,NEG ye NEG,neither-sta,0,1,0,1,0,0,0,0,1,chinese-ev-35,below,,Chinese,NA,NA,NA,NA,NA,NA
qishi,qishi,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,chinese-ev-15,neither,,Chinese,NA,NA,NA,NA,NA,NA
ran'er,ran'er,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-72,neither,,Chinese,NA,NA,NA,NA,NA,NA
ran'er,ran'er,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-60,neither,,Chinese,NA,NA,NA,NA,NA,NA
ran'er,ran'er,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-65,neither,,Chinese,NA,NA,NA,NA,NA,NA
ran'er,ran'er + negation,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-19,above,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,chinese-ev-77,neither,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",disj-nspk-epi-exc,0,0,1,0,0,0,0,0,1,chinese-ev-25,neither,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",disj-nspk-q,0,0,1,0,0,0,1,0,1,chinese-ev-86,neither,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"chinese-ev-27,chinese-ev-28,chinese-ev-80",neither,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",disj-nspk-sta-inc,-1,0,0,1,0,0,0,0,0,chinese-ev-82,neither,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",disj-spk,0,0,0,1,0,1,0,0,1,"chinese-ev-22,chinese-ev-23",neither,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",fc,0,0,0,0,0,0,0,1,1,chinese-ev-88,neither,,Chinese,NA,NA,NA,NA,NA,NA
yaome,"Yaome P, yaome Q",neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-84,neither,,Chinese,NA,NA,NA,NA,NA,NA
∅,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,0,NL_E_43,neither,,Dutch,NA,NA,NA,NA,NA,NA
∅,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,NL_E_45,neither,,Dutch,NA,NA,NA,NA,NA,NA
∅,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,NL_E_44,neither,,Dutch,NA,NA,NA,NA,NA,NA
∅,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,1,NL_E_38,neither,,Dutch,NA,NA,NA,NA,NA,NA
∅,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,NL_E_29,neither,Conflicting evidence,Dutch,NA,NA,NA,NA,NA,NA
∅,juxtaposition,disj-spk,0,0,,1,0,1,0,0,0,NL_E_46,neither,,Dutch,NA,NA,NA,NA,NA,NA
∅,juxtaposition,neither-sta,0,1,,1,0,0,0,0,0,NL_E_62,neither,,Dutch,NA,NA,NA,NA,NA,NA
en,en,conj-nocontrast-epi,1,0,0,0,0,1,0,0,?,"NL_E_34,NL_E_35,NL_E_36,NL_E_37,NL_E_4",neither,,Dutch,NA,NA,NA,NA,NA,NA
en,en,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"NL_E_1,NL_E_2",neither,,Dutch,NA,NA,NA,NA,NA,NA
en,en,disj-spk,0,0,,1,0,1,0,0,0,NL_E_30,neither,,Dutch,NA,NA,NA,NA,NA,NA
en,en,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_31,neither,,Dutch,NA,NA,NA,NA,NA,NA
en,en,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_32,neither,,Dutch,NA,NA,NA,NA,NA,NA
en,en,neither-sta,0,1,,1,0,0,0,0,0,NL_E_33,neither,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en … geen …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_63,below,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en … geen …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_65,below,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en … geen …,disj-spk,0,0,,1,0,1,0,0,0,NL_E_67,below,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en … geen …,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_69,below,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en … geen …,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_71,below,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en … geen …,negative,0,1,,1,,0,0,0,1,NL_E_26,below,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en … geen …,neither-sta,0,1,,1,0,0,0,0,1,NL_E_21,below,,Dutch,NA,NA,NA,NA,NA,NA
en,geen … en och niet …,neither-epi,0,1,,0,1,0,0,0,1,NL_E_23,below,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,conj-contrast-epi,1,0,1,0,0,1,0,0,1,NL_E_6,neither,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,NL_E_9,neither,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"NL_E_7,NL_E_8",neither,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,conj-contrast-sta,1,0,1,1,0,1,0,0,1,NL_E_5,neither,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,disj-spk,0,0,,1,0,1,0,0,0,NL_E_39,neither,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_40,neither,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_41,neither,,Dutch,NA,NA,NA,NA,NA,NA
maar,maar,neither-sta,0,1,,1,0,0,0,0,0,NL_E_42,neither,,Dutch,NA,NA,NA,NA,NA,NA
noch,geen … noch …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_64,above,,Dutch,NA,NA,NA,NA,NA,NA
noch,geen … noch …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_66,above,,Dutch,NA,NA,NA,NA,NA,NA
noch,geen … noch …,disj-spk,0,0,,1,0,1,0,0,0,NL_E_68,above,,Dutch,NA,NA,NA,NA,NA,NA
noch,geen … noch …,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_70,above,,Dutch,NA,NA,NA,NA,NA,NA
noch,geen … noch …,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_72,above,,Dutch,NA,NA,NA,NA,NA,NA
noch,geen … noch …,neither-sta,0,1,,1,0,0,0,0,1,NL_E_22,above,,Dutch,NA,NA,NA,NA,NA,NA
noch,niet … noch …,negative,0,1,,1,,0,0,0,1,NL_E_28,above,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_49,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_51,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,disj-spk,0,0,,1,0,1,0,0,1,"NL_E_10,NL_E_12,NL_E_47",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,disj-nspk-epi-q,0,0,1,0,0,0,1,0,?,NL_E_61,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"NL_E_53,NL_E_60",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_55,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,fc,0,0,,0,0,0,0,1,1,NL_E_74,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,(of) … of,neither-sta,0,1,,1,0,0,0,0,0,NL_E_57,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_50,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_52,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,disj-spk,0,0,,1,0,1,0,0,1,"NL_E_11,NL_E_13,NL_E_48",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,disj-nspk-epi,0,0,1,0,0,0,0,0,1,NL_E_14,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,"NL_E_17,NL_E_18",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"NL_E_15,NL_E_54,NL_E_59",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,"NL_E_16,NL_E_56",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,disj-nspk-sta-inc-q,?,0,,1,0,0,1,0,1,"NL_E_19,NL_E_20",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,fc,0,0,,0,0,0,0,1,1,"NL_E_24,NL_E_25,NL_E_73",neither,,Dutch,NA,NA,NA,NA,NA,NA
of,of,neither-sta,0,1,,1,0,0,0,0,0,NL_E_58,neither,,Dutch,NA,NA,NA,NA,NA,NA
of,niet … of …,negative,0,1,,1,,0,0,0,1,NL_E_27,above,,Dutch,NA,NA,NA,NA,NA,NA
va,va,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,farsi-ev-1,neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,farsi-ev-2,neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,disj-spk,0,0,,1,0,1,0,0,0,"farsi-ev-28, farsi-ev-33",neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-29,neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-30,neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,farsi-ev-34,neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,disj-nspk-epi-inc,?,0,,0,0,0,0,0,0,farsi-ev-35,neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-31,neither,,Farsi,NA,NA,NA,NA,NA,NA
va,va,neither-epi,0,1,,0,1,0,0,0,0,farsi-ev-36,neither,,Farsi,NA,NA,NA,NA,NA,NA
amma,amma,conj-contrast-sta,1,0,1,1,0,1,0,0,1,farsi-ev-3,neither,,Farsi,NA,NA,NA,NA,NA,NA
amma,amma,disj-spk,0,0,,1,0,1,0,0,0,farsi-ev-38,neither,,Farsi,NA,NA,NA,NA,NA,NA
amma,amma,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-40,neither,,Farsi,NA,NA,NA,NA,NA,NA
amma,amma,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-42,neither,,Farsi,NA,NA,NA,NA,NA,NA
amma,amma,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-44,neither,,Farsi,NA,NA,NA,NA,NA,NA
vali,vali,conj-contrast-sta,1,0,1,1,0,1,0,0,1,farsi-ev-4,neither,,Farsi,NA,NA,NA,NA,NA,NA
vali,vali,disj-spk,0,0,,1,0,1,0,0,0,farsi-ev-39,neither,,Farsi,NA,NA,NA,NA,NA,NA
vali,vali,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-41,neither,,Farsi,NA,NA,NA,NA,NA,NA
vali,vali,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-43,neither,,Farsi,NA,NA,NA,NA,NA,NA
vali,vali,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-45,neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,farsi-ev-5,neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,farsi-ev-7,neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"farsi-ev-49, farsi-ev-50",neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-51,neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,disj-spk,0,0,,1,0,1,0,0,0,"farsi-ev-52, farsi-ev-53",neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"farsi-ev-54, farsi-ev-55",neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"farsi-ev-56, farsi-ev-57",neither,,Farsi,NA,NA,NA,NA,NA,NA
balke,balke,neither-sta,0,1,,1,0,0,0,0,?,"farsi-ev-58, farsi-ev-59",neither,Conflicting evidence,Farsi,NA,NA,NA,NA,NA,NA
bejash,bejash,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,farsi-ev-8,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,disj-spk,0,0,,1,0,1,0,0,1,"farsi-ev-9, farsi-ev-10, farsi-ev-11, fars-ev-12, farsi-ev-13, farsi-ev-14",neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,disj-nspk-epi,0,0,1,0,0,0,0,0,1,farsi-ev-15,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"farsi-ev-16, farsi-ev-69",neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,"farsi-ev-17, farsi-ev-18, farsi-ev-73",neither,Conflicting evidence,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,disj-nspk-q-exc,0,0,1,0,0,0,1,0,0,farsi-ev-84,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,fc,0,0,,0,0,0,0,1,1,"farsi-ev-23, farsi-ev-93",neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,negative,0,1,,1,,0,0,0,1,"farsi-ev-25, farsi-ev-26",neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-61,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-65,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... ya,ya ... ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-77,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,"farsi-ev-19, farsi-ev-83",neither,,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,disj-nspk-q-inc,?,0,,1,0,0,1,0,1,farsi-ev-20,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,fc,0,0,,0,0,0,0,1,?,"farsi-ev-95, farsi-ev-96",neither,Conflicting evidence,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,negative,0,1,,1,,0,0,0,1,farsi-ev-24,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-64,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-68,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,farsi-ev-72,neither,Uncertain judgment,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,farsi-ev-76,neither,Uncertain judgment,Farsi,NA,NA,NA,NA,NA,NA
ya,ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-80,neither,,Farsi,NA,NA,NA,NA,NA,NA
na ... na,na ... na,neither-sta,0,1,,1,0,0,0,0,1,farsi-ev-21,neither,,Farsi,NA,NA,NA,NA,NA,NA
na ... na,na ... na,neither-epi,0,1,,0,1,0,0,0,1,farsi-ev-22,neither,,Farsi,NA,NA,NA,NA,NA,NA
na ... na,na ... na,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-88,neither,,Farsi,NA,NA,NA,NA,NA,NA
na ... na,na ... na,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-89,neither,,Farsi,NA,NA,NA,NA,NA,NA
na ... na,na ... na,disj-spk,0,0,,1,0,1,0,0,0,farsi-ev-90,neither,,Farsi,NA,NA,NA,NA,NA,NA
na ... na,na ... na,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-91,neither,,Farsi,NA,NA,NA,NA,NA,NA
na ... na,na ... na,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-92,neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"farsi-ev-6, farsi-ev-47",neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,farsi-ev-48,neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-37,neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,1,farsi-ev-46,neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,farsi-ev-27,neither,Uncertain judgment,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,farsi-ev-32,neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,disj-spk,0,0,,1,0,1,0,0,?,farsi-ev-60,neither,Uncertain judgment,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,disj-nspk-epi,0,0,1,0,0,0,0,0,0,farsi-ev-81,neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-82,neither,,Farsi,NA,NA,NA,NA,NA,NA
juxtaposition,juxtaposition,neither-sta,0,1,,1,0,0,0,0,0,"farsi-ev-86, farsi-ev-87",neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,disj-spk,0,0,,1,0,1,0,0,1,"farsi-ev-11, farsi-ev-12",neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,farsi-ev-70,neither,Uncertain judgment,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,farsi-ev-74,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,disj-nspk-q-exc,0,0,1,0,0,0,1,0,0,farsi-ev-85,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,fc,0,0,,0,0,0,0,1,1,farsi-ev-94,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-62,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-66,neither,,Farsi,NA,NA,NA,NA,NA,NA
ya ... va ya,ya ... va ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-78,neither,,Farsi,NA,NA,NA,NA,NA,NA
va ya,va ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-63,neither,,Farsi,NA,NA,NA,NA,NA,NA
va ya,va ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-67,neither,,Farsi,NA,NA,NA,NA,NA,NA
va ya,va ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,farsi-ev-71,neither,Uncertain judgment,Farsi,NA,NA,NA,NA,NA,NA
va ya,va ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,farsi-ev-75,neither,,Farsi,NA,NA,NA,NA,NA,NA
va ya,va ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-79,neither,,Farsi,NA,NA,NA,NA,NA,NA
kai,kai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,GRK-EVID-001,neither,,Greek,NA,NA,NA,NA,NA,NA
kai,kai,disj-spk,0,0,,1,0,1,0,0,0,GRK-EVID-039,neither,,Greek,NA,NA,NA,NA,NA,NA
